geo,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
afg,Afghanistan,,,,,,,,1.243,2.026,2.509,4.11,4.272,4.908,4.503,5.284,5.183
ago,Angola,59.54,33.1,37.48,30.43,32.88,44.57,70.32,49.96,58.44,47.88,53.14,82.72,105,160.9,267.2,138.6
alb,Albania,52.88,57.82,61.2,72.68,97.48,96.17,106.6,109.3,117.2,150.9,163.5,177.7,188.8,221,243.6,225.4
and,Andorra,946.5,1041,1182,1671,1207,1275,1344,1481,1526,1610,1712,2007,2110,2249,2385,2281
are,UAE,752.5,719.2,756.1,784.9,720,664.1,776.6,683.7,700.3,633.7,550.1,553.6,563.6,613,1505,1148
arg,Argentina,387.3,383.2,410.1,433.5,468,452.3,449.8,352.5,378.6,421.5,496.5,566.9,667.8,761.8,920.7,702.6
arm,Armenia,27.67,24.6,22.76,29.18,30.16,23.13,36.39,35.86,46.53,48.56,60.56,75.86,90.24,102.3,106.4,96.92
atg,Antigua and Barbuda,333.5,322.4,348.1,369.6,391.5,403.5,379.8,388,411.7,436.7,463.7,535.7,594.6,602.1,585.5,703
aus,Australia,1050,1110,1207,1288,1426,1505,1573,1702,1757,1908,1979,2089,2237,2318,2369,2340
aut,Austria,1655,1695,1851,1979,2098,2199,2211,2318,2416,2568,2646,2828,2964,3186,3330,3401
aze,Azerbaijan,20.76,22.61,19.99,16.28,19.18,18.99,20.63,21.46,25.25,35.04,38.7,52.04,74.96,74.36,128.1,117.5
bdi,Burundi,5.922,6.075,4.578,5.126,5.07,5.674,7.244,7.094,6.189,12.46,14.72,18.31,19.73,18.07,16.37,18.05
bel,Belgium,1314,1411,1396,1438,1528,1676,1784,1877,2270,2406,2455,2423,2527,2785,2965,3009
ben,Benin,21.53,21.38,19.76,21.79,24.27,23.23,29.33,23.43,28.19,28.5,32.26,33.34,34,33,37,32
bfa,Burkina Faso,10.91,12.42,14,14.77,16.46,15.62,15.03,18.51,23.14,30.94,41.48,40.14,44.1,47.76,44.16,47.19
