geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,0.14893,1.29199,1.18582,1.3359,1.35634,1.84916,2.44144,2.3367,2.54156,2.92573,2.27743,2.82754,2.97861,3.09919,3.11639,3.40522,2.76909,2.48218,6.11595,2.69242,0.63391
ago,Angola,7.66037,13.35495,11.54402,14.54896,21.35634,24.507,37.79336,54.08843,87.74144,81.56714,60.22296,79.0806,79.51168,88.56893,70.71669,50.93116,41.4965,52.18087,35.74917,29.3304,29.04446,37.06002,52.24887
alb,Albania,30.46628,34.34563,35.97818,47.62879,65.33531,70.34032,76.89747,97.07583,99.01202,95.91939,96.8704,106.1722,103.94308,113.26876,118.1537,106.37125,117.94243,124.63752,150.53332,156.35489,157.85984,184.77188,187.2502
and,Andorra,844.38428,898.21659,1049.83526,1206.17967,1275.58372,1462.54255,1286.40849,1427.3664,1810.96984,1810.60504,2429.36958,2612.84118,1938.4647,2024.27845,2132.70354,1921.19575,2007.19582,2069.02391,2234.79774,2154.82026,2382.40439,2616.82594,2345.26845
are,UAE,485.96447,530.82709,461.82611,480.94414,469.27888,510.64005,590.8919,690.29219,936.81407,1128.10051,1147.82942,1294.59727,1241.52079,1288.06793,1261.05951,1054.15758,1215.02139,929.16449,965.85005,1004.2713,1313.89126,1442.37937,1371.03822
arg,Argentina,384.3441,366.84665,121.0069,142.24692,160.0817,200.19859,237.74992,308.0918,407.80692,466.79905,575.17641,721.75234,846.02672,895.92869,833.92863,1012.27294,818.49709,958.51484,708.77855,612.39602,570.73944,660.71581,800.17119
arm,Armenia,5.83862,9.19713,9.11324,11.14312,15.31342,24.09868,33.86979,49.94579,58.63086,53.19063,53.27566,58.03911,57.34452,52.34982,59.80618,58.17199,59.16055,54.27701,52.85832,66.20587,103.05869,105.82868,116.19006
atg,Antigua and Barbuda,300.87048,338.05234,326.71675,367.62999,346.89286,356.71662,352.20953,366.65399,352.31982,334.58434,422.26287,408.47963,424.18587,414.50436,489.10708,471.90984,456.79027,444.31132,514.45988,472.28093,550.27521,531.44511,622.78537
aus,Australia,1168.58582,1102.44736,1261.02386,1588.86087,1967.15225,2152.15961,2275.31144,2765.19346,2953.54117,2912.71259,3580.21155,4305.42357,4301.76939,3936.26226,4275.76771,3760.64351,3856.53331,4118.94544,4168.1569,4079.73089,4386.42303,5353.00164,4990.4938
aut,Austria,1682.86147,1680.96539,1834.3865,2260.8795,2590.12369,2695.6666,2828.75757,3260.49903,3732.00022,3590.60534,3475.56824,3756.4368,3618.98189,3778.29661,3911.28346,3342.26826,3408.04965,3645.19501,3974.77075,3941.44859,4250.65324,5093.63134,4533.39661
