geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,0.89142,7.28044,5.53527,5.31935,4.68654,5.65337,6.121,5.41737,5.47462,5.60623,4.34189,5.03476,4.96026,5.17224,5.07785,5.09582,3.8878,3.35139,7.63642,3.30272,0.78599
ago,Angola,58.20957,45.64085,39.30446,41.308,42.51448,44.83418,53.77399,57.89379,64.35443,67.67429,62.11628,64.75706,65.25455,62.0298,54.15326,47.36523,44.13826,46.27865,42.54281,45.39327,51.92152,55.27504,51.60069
alb,Albania,46.53004,46.46233,45.69915,45.17244,47.8622,46.90119,46.82563,46.37696,41.759,40.48228,38.14059,38.78395,39.87333,41.02802,40.30806,41.88942,42.82015,42.17532,43.10669,42.68025,39.84601,39.6872,45.19117
and,Andorra,65.41167,65.20614,66.3105,64.02557,62.0246,64.18534,59.83186,59.84716,65.1694,67.84007,73.99111,73.58311,69.50762,70.14201,71.04855,71.92554,72.09361,71.93776,70.75121,71.31783,72.60459,74.00548,73.46606
are,UAE,68.83046,77.0104,61.22885,61.27508,57.10731,56.84106,57.30422,58.6737,63.91039,73.68284,70.85416,72.42097,72.54479,71.97173,70.97639,71.25105,76.2764,54.81139,51.57846,51.17391,60.9861,64.1068,59.23064
arg,Argentina,54.7317,54.85204,54.55613,54.71242,51.79897,51.41911,52.60231,54.30964,55.09854,59.96014,58.95256,60.32123,62.42687,63.59713,65.42355,66.71374,65.39313,64.46273,58.59922,60.5685,63.98451,61.12746,58.36897
arm,Armenia,22.75322,28.82457,15.39144,16.80313,21.37231,25.22076,27.11775,29.3534,22.41244,21.45593,18.259,17.84222,17.27693,13.32557,14.79111,15.91488,16.45258,13.24471,12.34011,12.40508,19.2535,17.76139,17.2188
atg,Antigua and Barbuda,57.84612,59.0786,58.43794,59.90863,58.0332,55.62261,52.95464,51.33233,50.7641,54.89454,58.31645,56.94828,56.29526,56.08194,59.15979,59.78766,55.84991,56.16209,60.07439,58.43976,62.28354,63.00734,57.40575
aus,Australia,71.83633,71.10848,71.93769,71.34126,71.6871,71.83749,71.66631,72.9062,72.32992,73.01054,72.35728,73.2603,71.23466,67.72799,70.11462,71.02828,71.10355,71.25541,71.49373,73.78526,73.68559,76.04152,74.14198
aut,Austria,74.16341,73.64529,73.43814,73.13827,72.05495,72.65169,72.85014,72.79901,73.7876,72.84671,72.39571,72.68903,72.87379,72.16906,72.51709,72.45601,72.35966,73.80551,74.47271,74.88421,76.85112,78.11663,77.46796
aze,Azerbaijan,29.39698,29.02164,27.05659,28.3738,32.29572,39.94744,41.91232,45.62399,42.24292,40.98782,38.29708,36.60181,35.34202,33.05684,31.50672,30.06648,26.35347,24.65527,23.16248,25.56861,39.81031,31.61756,30.33074
bdi,Burundi,34.70242,29.78705,28.70185,25.70115,33.37493,27.28089,27.13312,26.82294,20.14007,22.53802,17.59704,34.4696,30.9056,17.85823,38.64748,38.46515,31.66303,28.96152,28.20853,25.13972,20.1439,24.76643,18.90351
bel,Belgium,74.53091,75.33212,73.72327,74.0882,74.96882,74.7711,74.55923,74.15681,75.72202,76.27316,76.22052,76.15606,76.44509,75.9631,76.10593,76.36655,76.75969,76.72294,76.58866,75.25446,78.12389,76.70116,75.18476
ben,Benin,38.58332,37.37374,31.33202,33.95888,35.93184,33.14779,32.88234,32.93759,28.00041,30.04043,24.99409,21.73783,24.2833,26.65324,21.37866,21.65677,16.83768,17.07419,15.56364,12.41332,19.12105,12.31288,19.23644
bfa,Burkina Faso,32.5833,33.63924,35.60902,31.18564,40.30578,30.94971,31.69764,27.36343,29.28507,32.30835,24.93154,28.95878,23.12789,28.98209,32.53527,28.37508,40.08373,43.30178,42.50741,41.81359,43.45897,42.81739,40.21816
bgd,Bangladesh,28.1666,21.66823,24.30713,24.61207,24.06328,21.8778,22.73098,22.48718,20.91897,19.93485,20.56866,20.40087,19.95434,19.0466,18.51753,17.09586,19.90325,21.2278,20.96881,19.79063,18.0467,16.90373,6.48058
bgr,Bulgaria,59.55729,56.07351,59.33761,60.71678,59.42908,59.57205,55.67277,55.74913,55.39444,53.80401,55.24333,54.13436,50.79978,56.56291,58.2386,55.8973,55.13335,54.93419,57.63652,59.15583,59.84019,64.38867,62.54858
bhr,Bahrain,71.09094,71.68609,71.25164,65.96889,67.3362,69.87419,69.40021,64.25352,65.20483,66.15504,65.20017,65.3317,65.3484,65.18133,64.98168,65.01879,61.36576,56.88353,58.83235,58.27349,62.92516,63.83311,64.91063
bhs,Bahamas,39.57865,39.90872,39.59148,40.50924,39.83109,39.37672,38.45758,40.04133,42.86846,45.57729,45.07815,44.60906,43.49755,45.62892,44.95012,44.35181,48.60113,55.22931,49.63326,51.90351,59.67696,54.0932,56.37085
bih,Bosnia and Herzegovina,51.16267,57.10806,59.76089,66.16155,56.95884,54.57805,54.5629,55.33282,55.68477,68.03463,68.06683,67.67099,68.64822,69.71353,70.36661,69.21732,70.89726,70.12524,69.86697,68.72327,69.60146,68.30247,65.78981
blr,Belarus,78.66545,74.61546,72.53397,75.99232,76.69067,74.49913,71.50664,70.18518,65.78204,64.56335,68.04416,63.35825,65.6519,62.65648,62.60077,60.78436,70.94084,69.10973,70.56276,70.38102,70.88409,74.22771,67.5537
blz,Belize,46.03773,51.06252,51.46722,49.6623,50.03706,51.85334,55.62245,58.6005,64.55573,64.25091,66.55598,65.9986,66.02672,66.21117,62.37167,67.88059,70.03609,69.4055,68.74919,68.77599,71.10195,69.62101,62.31736
bol,Bolivia,55.32917,54.17407,53.14352,53.00777,52.13727,54.26985,56.02087,59.09321,58.65034,61.03663,58.76804,58.39108,57.03056,58.52253,62.62419,65.74084,64.82121,68.52771,72.65297,71.08984,72.32568,72.0884,69.82246
bra,Brazil,41.63556,41.08931,42.3871,42.85684,42.67027,41.63146,42.92739,42.48597,43.74353,44.16327,45.02125,44.49916,43.36181,44.51945,44.05275,43.25646,43.05796,41.73838,41.09182,40.74078,43.35229,44.69211,44.89781
brb,Barbados,51.85348,53.28872,53.51587,56.28889,59.36916,57.23898,56.26897,54.46463,55.32674,54.57362,53.42999,48.47717,55.33292,51.42476,47.12921,46.7698,46.03868,45.05372,45.48932,44.8798,49.38206,54.29811,45.03743
