geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,85.3756,86.06919,84.52759,78.97009,76.82497,78.16998,75.40339,72.77924,78.99665,73.25517,74.48621,72.04786,73.05592,78.38229,75.97433,75.48258,76.22302,76.81837,74.81396,77.21405,77.94615
ago,Angola,27.30469,45.09109,49.66205,48.51069,46.8911,42.33266,30.6657,28.38397,21.65324,15.50891,19.34376,17.99381,17.61918,21.34928,26.87617,33.52317,35.20893,34.12101,36.18027,33.05724,28.66171,26.07764,28.70015
alb,Albania,51.8142,49.12819,50.85527,49.91648,48.34204,49.31101,49.0485,49.40165,56.23107,56.53382,59.96681,59.84097,58.21258,57.72882,59.18069,57.3407,56.51748,57.18074,56.41462,56.41222,59.39613,59.70424,51.26052
and,Andorra,15.40114,15.55851,15.04982,16.0567,16.9369,15.96541,17.8915,18.00021,15.58166,14.3965,11.63837,11.80086,13.63951,13.33333,12.76978,13.11098,12.56226,12.08733,12.33831,12.74225,11.15108,11.73809,8.84465
are,UAE,22.08344,15.08593,28.04151,27.45693,30.40838,30.13919,29.70961,28.87625,25.13652,16.10037,17.94574,16.88404,16.7388,17.15579,17.80783,17.78965,15.99159,11.41662,12.69611,12.23162,11.21054,10.46759,12.28839
arg,Argentina,29.10433,29.4744,29.9939,28.24989,27.62963,33.06813,32.41084,31.2863,30.26191,26.1871,26.7801,26.89296,26.08746,26.81742,27.04211,25.93237,27.00738,21.28658,25.13259,23.9415,21.75679,24.93863,26.40138
arm,Armenia,62.01095,50.8796,75.2345,76.42555,71.58871,62.93592,61.17357,58.22919,71.43701,73.63292,77.62413,78.41966,78.5873,82.87557,82.48137,81.62988,80.64696,84.34803,84.27638,84.7943,77.84782,78.65648,79.09084
atg,Antigua and Barbuda,22.22428,22.74691,22.74012,23.21789,24.31145,27.07498,30.31648,32.52657,31.90915,25.27704,24.6838,25.77301,26.89558,26.76339,25.34368,23.53069,27.5196,26.56862,23.66021,24.2651,21.96623,21.55277,24.80779
aus,Australia,20.99714,20.4391,19.92001,19.14759,19.2187,19.64301,19.74942,19.00256,19.04163,19.05284,19.74929,19.17248,19.93434,19.52692,17.84736,17.20188,16.94657,16.60432,16.22962,14.70659,14.88614,13.83727,15.28299
aut,Austria,17.82222,18.46296,18.61329,18.88837,19.3019,19.18326,18.80628,18.80614,18.24393,18.05128,18.60163,18.73956,18.67409,19.17125,19.09818,19.09111,19.24335,19.15276,18.42535,17.9152,16.47193,15.7348,15.99058
