geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,85.3756,86.06919,84.52759,78.97009,76.82497,78.16999,75.40339,72.77925,78.99665,73.25517,74.48621,72.04786,73.05592,78.3823,75.97433,75.48404,76.37773,76.81837,76.23154,77.34925,77.94615
ago,Angola,41.27677,52.92856,59.41811,57.65277,55.55618,52.128,40.36954,39.40857,33.15676,28.49827,34.63728,32.38171,32.57002,35.40424,42.67659,49.96444,52.2201,50.60655,53.82723,50.65768,42.64311,40.09363,43.7202
alb,Albania,51.81461,49.1287,50.85672,49.91502,48.34678,49.31712,49.0485,49.40514,56.23779,56.54483,59.98363,59.85714,58.22598,57.73825,59.18626,57.34393,56.5205,57.27444,56.47249,56.6552,59.47789,59.76841,51.35628
and,Andorra,34.91431,34.69522,33.6895,36.06065,38.13786,36.02614,40.4614,39.80241,34.68885,31.9517,25.84012,26.41794,30.36103,29.89452,28.93283,28.11845,27.36765,28.06391,29.23188,28.68217,27.44039,25.99453,26.53394
are,UAE,31.16954,22.9896,38.77114,38.72491,42.89269,43.15894,42.69578,41.3263,36.08961,26.31717,29.14584,27.57903,27.45521,28.02826,29.02361,28.74894,23.7236,45.18861,48.42154,48.82608,39.0139,35.8932,40.76937
arg,Argentina,45.23767,44.94722,43.47652,44.94412,41.91095,47.39782,47.07147,45.46093,43.97576,39.75198,40.73146,39.09851,37.05214,35.95693,34.04806,33.0024,34.32504,35.09455,41.12049,39.20406,35.73629,37.65599,40.37863
arm,Armenia,64.46745,53.16418,76.67763,77.96792,73.17188,63.10401,61.30936,58.42901,71.6987,73.95486,78.01216,79.00772,79.7625,84.60213,83.67941,83.00222,81.85066,85.61707,86.44311,86.59965,79.64311,81.35023,82.26875
atg,Antigua and Barbuda,41.80509,40.84837,41.42495,40.09137,41.92371,44.22232,46.90572,48.52497,49.04827,45.07782,41.55626,42.99833,43.70473,43.68274,40.84021,40.21234,44.13654,43.81507,39.82854,41.51376,37.58076,36.87339,42.44222
aus,Australia,28.16368,28.89152,28.06231,28.65875,28.3129,28.16251,28.33368,27.0938,27.67008,26.98946,27.64272,26.7397,28.76534,32.27201,29.88538,28.97172,28.89645,28.74459,28.50628,26.21474,26.31441,23.95848,25.85801
aut,Austria,25.8366,26.35471,26.56186,26.86174,27.94505,27.34832,27.14987,27.20098,26.2124,27.15329,27.60429,27.31097,27.12622,27.83094,27.48291,27.54399,27.64036,26.19449,25.52729,25.11579,23.14888,21.88251,22.53203
aze,Azerbaijan,66.61224,69.73894,72.11021,68.97021,65.58715,59.14458,56.38338,52.66085,56.54366,57.87352,60.30682,62.09306,62.95813,66.20204,67.53082,69.14719,73.18203,74.72935,76.22852,74.14053,59.9514,68.01583,66.7627
bdi,Burundi,64.25967,47.75265,52.35043,52.78498,40.51197,41.07004,41.52055,42.92698,44.81361,36.98011,29.39211,27.25948,24.78527,22.82638,33.3325,33.53722,30.43211,31.09772,28.7259,23.52999,23.26886,27.95629,27.93967
bel,Belgium,25.46909,24.66788,26.27673,25.91179,25.03118,25.22891,25.44076,25.84318,24.27798,23.72684,23.77948,23.84394,23.55491,24.0369,23.89408,23.63345,23.24031,23.27706,23.41134,24.74555,21.87611,23.29884,24.80309
ben,Benin,59.09377,52.392,55.29583,55.23899,52.06284,49.98823,49.05898,52.06741,47.99973,45.44426,45.55636,45.85751,47.10983,48.32501,53.4938,58.57354,55.72327,57.9239,52.03168,58.16291,53.50674,55.61281,48.7638
bfa,Burkina Faso,46.11939,46.76523,42.19653,37.07218,32.99986,33.66047,32.89835,29.57488,34.04204,36.71235,33.64441,38.41626,38.66165,41.50683,43.86044,46.95413,36.43961,38.70117,42.30843,42.3882,38.38488,39.0984,38.92392
bgd,Bangladesh,64.02439,68.50127,65.70114,65.72671,65.92007,68.66895,69.12872,69.45909,70.73515,70.67396,70.44636,70.99598,70.92236,71.94525,73.13734,75.12078,73.93395,72.72189,73.20014,74.64626,76.54676,75.46097,74.99995
bgr,Bulgaria,40.45759,43.93976,40.6562,39.28796,40.57386,40.42826,44.31308,44.25253,44.59652,46.19472,44.76433,45.85725,49.19809,43.43709,41.76141,44.1027,44.86664,45.06551,42.36349,40.84445,38.13098,35.04782,37.45141
bhr,Bahrain,28.90906,28.31391,28.74835,34.03111,32.6638,30.12581,30.59979,35.74648,34.79517,33.84496,34.79982,34.6683,34.65159,34.81867,35.01831,34.9812,38.63424,43.11647,41.16764,41.72651,37.07484,36.16689,35.08937
bhs,Bahamas,59.77048,59.4786,59.81783,58.92986,59.62305,60.11897,60.85769,59.31427,56.52746,53.85854,54.35909,54.82375,55.92935,53.82299,54.48938,55.05748,50.8518,44.29269,49.83611,47.59676,39.90409,45.42982,43.17583
bih,Bosnia and Herzegovina,41.98865,41.58248,38.45634,32.54939,42.70068,45.20005,44.99708,44.27066,43.91299,31.01283,30.42264,29.7292,29.46185,29.32819,29.1813,29.09027,28.91307,29.48897,29.70884,29.73447,29.1557,31.03324,31.3032
blr,Belarus,21.24327,25.21858,27.32117,23.8954,23.21844,25.42749,28.31874,29.6751,34.01032,35.17312,31.5016,36.34972,33.80138,36.93608,37.1007,38.82482,28.64006,30.51344,29.23046,29.4794,28.81703,25.56516,32.28484
blz,Belize,47.46372,42.32343,42.22861,42.72862,42.63719,41.19912,37.52301,32.5061,30.15207,30.28909,30.64803,29.88898,31.3001,31.5063,28.27992,29.15668,28.27486,28.97017,28.74788,28.27959,25.96412,27.47211,33.11047
bol,Bolivia,38.41329,39.42515,39.88736,38.06578,38.65199,38.1171,38.23096,36.32851,35.41603,34.9627,37.64148,36.95423,38.54709,37.94885,34.7081,31.18536,31.94019,29.16842,25.71767,27.77645,24.91402,26.45338,25.25265
bra,Brazil,58.04625,58.62712,57.29716,56.94624,56.79905,58.3011,56.96648,57.43232,56.20293,55.68764,54.73281,55.16176,56.51362,55.4126,55.80925,56.66341,56.86286,58.19538,58.82275,59.11333,56.49476,55.17562,55.01996
brb,Barbados,48.14653,46.71128,44.40621,41.88166,39.4128,41.57989,42.20575,43.57117,41.57288,41.97456,44.27499,48.51414,44.29617,46.76339,50.62046,51.52707,52.28217,52.94552,53.3027,54.23222,49.86232,45.03418,54.29029
brn,Brunei,15.83132,16.80675,16.41055,17.05134,16.90948,16.33397,14.68853,12.785,10.10823,9.4994,8.26135,8.47187,8.85193,9.40743,7.3346,4.97358,4.97981,5.41142,4.85835,5.50819,5.81453,6.93069,7.6584
btn,Bhutan,12.21379,9.36952,12.00146,19.35542,16.57698,17.07496,15.00292,14.52113,15.87288,17.03741,16.93258,16.82223,21.71428,21.42553,22.33861,20.67407,21.28588,14.31341,14.39869,19.46735,16.85574,23.39936,36.06332
bwa,Botswana,30.68357,30.93322,30.2669,31.15103,32.32661,34.07838,32.06209,28.31841,25.27616,41.13552,37.34254,33.74815,30.88697,27.2336,24.19018,25.21212,27.8121,14.72867,22.88102,19.00562,20.92663,18.03263,18.56842
caf,Central African Republic,49.37817,55.32135,50.73135,50.1991,54.31953,52.88037,52.69608,50.79791,59.23644,49.02278,60.92179,59.82344,59.12965,46.24709,47.3944,49.54203,56.16417,57.60929,42.36108,61.55037,50.50314,50.40065,48.42402
can,Canada,27.14836,27.19842,27.56201,26.86018,26.93806,26.96446,30.49067,30.32878,30.16803,29.72758,30.0608,29.71243,29.42931,29.0335,29.194,29.09988,30.1013,30.32567,30.33831,30.49764,26.20193,27.03988,28.78667
che,Switzerland,71.43389,70.03432,68.63699,68.59426,69.11469,68.95199,69.39105,69.28933,68.39422,67.85114,66.592,66.18217,65.46728,66.34061,66.20388,66.39603,66.24576,66.30885,66.48021,66.48998,64.09675,64.15856,65.04568
chl,Chile,64.20528,63.63591,62.45816,61.75231,60.53358,60.6575,58.63108,57.7401,56.46288,53.12551,52.88527,52.84055,52.06287,52.34797,52.26169,51.98185,50.34714,49.60051,48.75977,48.73554,43.48959,46.33732,49.57092
