geo,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
afg,Afghanistan,,,,,,,,22.11,29.68,32.12,35.58,36.17,40.36,38.26,45.57,44.47
ago,Angola,68.57,43.05,48.13,41.65,44.32,56.25,82.24,63.36,72.09,62.97,71.33,104.3,130.9,190.8,297.3,168.1
alb,Albania,105.9,145.9,156.1,183.8,225.3,266.4,279.1,303.1,326,379.8,406.9,450.9,493.9,557.4,591.5,577.3
and,Andorra,1469,1596,1786,2320,1825,1967,1954,2153,2225,2328,2476,2850,3023,3218,3403,3255
are,UAE,952.9,907.5,965.1,1166,1091,1019,992.2,1084,1109,1072,932.5,932.2,945.3,928.6,1956,1544
arg,Argentina,648.1,663.9,753.1,800.2,850,839.3,829.9,658,724.2,806.3,915.8,1017,1125,1218,1386,1287
arm,Armenia,89.37,88.19,93.68,102.5,106.6,127.5,136.1,142.5,170.7,191.3,199.1,199.7,217.1,229.8,244.9,238.5
atg,Antigua and Barbuda,501.8,502.3,527.2,543.9,565.3,584.7,579.8,595.3,641.5,689.3,734.3,815.2,896,886.9,872.5,990.6
aus,Australia,1597,1701,1804,1942,2085,2253,2374,2543,2658,2861,2958,3138,3314,3409,3484,3441
aut,Austria,2238,2305,2446,2603,2733,2862,2905,3058,3199,3393,3476,3722,3881,4128,4288,4388
aze,Azerbaijan,87.39,94.39,89.28,98.84,105.1,102.4,109.1,121.1,199.4,269.2,342.6,366.5,382.5,386.1,553.6,579.1
bdi,Burundi,18.37,17.5,15.89,18.14,17.62,19.84,21.76,23.23,23.67,34.73,42.32,52.02,52.32,48.62,45.4,47.29
bel,Belgium,1710,1806,1853,1923,2049,2246,2366,2543,3035,3165,3233,3280,3438,3715,3948,4025
ben,Benin,47.84,48.28,46.96,49.26,52.76,52.57,59.55,53.03,59.03,59.78,64.92,66.39,67,64,69,65
bfa,Burkina Faso,28.16,32.37,34.1,37,39.96,39.39,40.2,42.17,49.85,57.65,69.67,70.6,73.16,80.87,88.81,92.58
bgd,Bangladesh,11.38,11.5,9.267,9.349,9.708,9.877,10.27,10.87,11.49,12.61,13.15,14.4,16.48,18.23,20.64,23.54
bgr,Bulgaria,290.7,241.3,256.6,286,338.4,384.9,505.1,574.7,624.1,650.6,719.4,763.4,841.7,972.2,994.7,947.4
bhr,Bahrain,820.7,833.6,865.6,897,914.2,815.3,928.6,1027,1076,1048,1014,955,954,974.5,1083,1083
bhs,Bahamas,1198,1242,1263,1286,1333,1365,1406,1503,1594,1752,1854,2091,2179,2232,2086,1988
bih,Bosnia and Herzegovina,151.3,287.7,282.8,315.1,369.3,315,337.1,351.2,423.6,527,576,667.8,769.8,892.1,933.8,972.4
blr,Belarus,231.7,224.9,271.1,270.5,295.1,318.7,370.7,388.3,434.4,500,585.2,617.4,712.8,752.8,782.3,786.1
blz,Belize,163.6,140.4,155.9,154.8,160.9,196.7,233.6,237,268.2,273.2,287.9,301.8,335.8,351.1,393.2,377.6
bol,Bolivia,121.7,130.9,130.9,157.5,190.9,192.1,203.4,214.8,188.6,189.9,210.5,192.4,199.4,223.1,237.1,233.3
bra,Brazil,417.3,439.8,453.7,448.7,473,502.2,520.7,530.4,528.2,575.7,695.2,766.6,827.9,862.2,920.9,1028
brb,Barbados,638.4,650.3,667.4,666.9,693.9,791,830.1,925.4,915.5,1199,1060,1373,1434,1474,1179,1523
brn,Brunei,1227,1578,1543,1817,1722,1284,1403,1425,1451,1427,1278,1177,1242,1195,1516,1449
btn,Bhutan,60.74,90.95,110.5,120.3,158.5,165.2,164.7,228.3,151.6,142.2,162,195.2,223.7,245.8,254,274.8
bwa,Botswana,248.9,266.2,305,313.3,305.8,400.3,469.8,583.4,615.4,926.4,883.6,832.7,1034,1060,1296,1145
caf,Central African Republic,22.43,21.28,23.32,22.3,23.21,26.11,26.22,26.66,25.57,25.96,25.07,26.76,30.44,30.03,30.49,31.15
can,Canada,2054,2056,2150,2309,2416,2519,2733,2871,3058,3211,3449,3673,3850,3996,4314,4404
che,Switzerland,2547,2717,2834,2972,3063,3210,3400,3644,3744,3903,3981,4208,4540,4889,5105,5394
chl,Chile,500.1,599.9,641.7,711.6,724,768.4,815.9,834.6,779.6,798.2,842.7,863.6,958.9,1094,1209,1199
chn,China,52.6,62.6,73.46,85.68,96.06,108.1,117.9,136.4,153.5,169.3,191,214.9,240.4,284.8,347.2,378.9
civ,Cote d'Ivoire,72.1,84.43,98.24,108.7,92.49,81.17,63.73,54.88,59.32,68.33,71.61,79.55,101.1,104.8,94.79,97.58
