geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,12.4,,,14.3,,,18.9,,24,,34.3,38.6,39.9,,45.2,50.5,,53.4,58.8,,61.8,,
ago,Angola,,,,,,,,,,,,,,,,,22.5,,,,,44.7,,,,,,47.3,,,,,,,,,49.6,,,,,,
alb,Albania,,,,,,,,,,92.7,93,92.6,86.4,87.2,89.1,89.1,91.2,98.8,99.1,99,99.1,99,98,98.8,99.3,99.8,99,,,99.3,,,,,,,,,99.8,,,,
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,,,
are,UAE,,,,,,,,,,,99.1,,,,,99.2,,,,,,,,100,100,,,,100,,,,,99.9,99.9,99.9,,,99.2,,,,
arg,Argentina,,,,,,,,,,,96.9,,95.8,,,98.5,,97.2,97.5,97.5,99.1,98.4,98.9,98.7,99.1,99.1,99.4,99.4,94.8,97.9,95,97.1,98.2,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,,
arm,Armenia,,,,,,,,,,99.7,99.7,99.7,98.3,95.5,93.3,93.1,95.7,96.4,97.4,98.8,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,,99.8,,,,,,
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,100,100,,100,,99.9,100,99,99,100,99.9,99.9,100,100,100,100,,100,100,100,100,,100,,,99,,
aus,Australia,,,,,,,,,,,,99.6,99.3,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99,99.8,98.8,98.8,99.4,98.7,98.8,96,,
aut,Austria,,,,,,,,,,,,,,100,,,98.2,98.2,98.3,98.3,98.3,98.3,98.4,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.1,,
aze,Azerbaijan,,,,,,,,,,97.3,97.3,97.2,96.5,96.3,99.6,91.5,87.9,90.4,91.5,92.4,80.7,88,94,95.8,95.9,94.4,88.6,93,98,99.8,99.4,97.2,99.8,99.9,99.9,99.8,99.8,99.8,99.4,99.9,99.9,99.9,
bdi,Burundi,,,,,,,,19.1,,,,,,,,,,,,,25.2,,,,,31.8,,,,,60.3,,78.4,,,,77.6,79.1,86.2,98.6,87.4,76.5,
bel,Belgium,,,,,,,,100,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,
ben,Benin,,,,,,,,,,,,,,,,,59.8,,,,,65.5,,,,75,74,,,,,,80.9,,77.2,,,,78.1,,,,
bfa,Burkina Faso,,,,,,,,,,,,,,41.4,,,,,,30.9,,,,37.8,,,53.5,,,,65.9,,,,,79.8,,,,,,,
bgd,Bangladesh,,,,,,,,,,,,,,,9.5,,,7.7,,,12.1,12,,13.9,13.2,,20.1,18,,24.4,26.5,31.7,,36.5,42.1,,49.8,67.8,52.7,59,,,
bgr,Bulgaria,,,,,,,,,,99.3,99.1,99.5,99.8,99,99,98.9,99.9,99.9,99.88003,99,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,99.6,99.5,,,99.7,99.7,93.4,95.1,93.9,93,92.3,94.6,94.5,
bhr,Bahrain,,,,,,,,,,,,,,,,97.6,,,,,97.7,97.5,97.6,97.8,97.7,97.5,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,99.9,99.7,99.9,99.6,99.6,,,
bhs,Bahamas,,,,,,,,,,,99,,,,,99,,99,99,99,99,99,99,99,98,98.7,99,98.4,98.5,98.9,99.1,99.1,98.9,98.6,98.9,98,99,,99,99,,,
bih,Bosnia and Herzegovina,,,,,,,,,,96.6,97,97.4,,,,,98.9,98.7,99.3,99.6,98.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,99.9,99.9,99.9,99.9,99.9,,,
blr,Belarus,,,,,,,100,,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,99.9,99.9,99.9,99.9,99.9,99.8,100,99.8,99.8,,,,,99.9,99.9,,
blz,Belize,,,,,,,,,,,,76.9,,,,79,,,79,83.8,90.2,,97,,87.8,89.3,95.8,90.7,94.9,93.5,94,96.2,93.7,93,93.1,93.5,96.8,95.3,94.8,95.3,94.6,,
bol,Bolivia,,,,,,,,,,42.1,,,,,47.2,,,,56.7,,67.3,,65.1,60.8,60.8,,,,71.1,,,84,82.1,84.2,83.9,88.8,89.8,99.5,71.5,81.1,,,
bra,Brazil,,,,,,,,,,,,69.5,,,,,87.3,98.6,98.6,98.6,98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,98,98.4,98.2,98.6,98.7,98.8,98.4,98.4,,
brb,Barbados,,,,,,,,,,,,,,,,100,,,,91,98,,100,100,100,100,100,100,100,100,,100,98.9,98.6,99.8,99,99.1,,99,98,98.4,,
brn,Brunei,,,,,,,,,,,,97.8,98,97.8,98.2,96.2,98.9,99.6,99.3,99.4,99.2,99.7,99.6,99.6,99.6,99.7,99.7,99.9,99.7,99.9,99.8,99.7,99.8,99.7,99.9,100,100,99.8,99.8,99.6,99.7,99.6,
btn,Bhutan,,,,,,,,,,,,,,,12,,,,,,27.3,,,56.1,,52.3,57.1,71.4,66.3,66,64.5,70,74.6,89,89,89,89,96.4,96.2,96.3,99.3,98.9,
bwa,Botswana,,,,,,,,,77.4,,,,,,,,87,,,,98.5,92,96.5,96.1,97.3,94,99.3,94.6,98.3,99.5,99.1,99.8,99.8,99.9,99.5,99.7,99.7,99.8,,,,,
caf,Central African Republic,,,,,,,,,,,,,,,,45.9,,,,,31.7,,,,,,41.4,,43.7,43.7,40,,,,,,,,,40.3,,,
can,Canada,,,,,,,,100,,,,99.1,99.6,99.4,99.3,99.4,99.2,99.3,99.3,99.2,99.3,99.3,99.3,98.9,99,98.8,100,98.8,98.7,98.6,98.5,98.4,98.1,98,97.9,97.9,97.8,97.9,98,98,98,,
che,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,
chl,Chile,,,,,,,,,,,,,,99,99.5,99.5,99.6,99.4,99.6,99.4,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.8,99.8,99.8,99.9,99.8,99.8,99.8,99.7,99.7,99.8,99.8,99.8,,,
