geo,name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,10.3,,13.6,18.6,,22.8,,21.8,21.23951,,,,22.5,,,,,,,,,
ago,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.271,,,,,,,,20,,,,,,,13.7,,,,,,,,
alb,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5451,,75.1,,,60.12269,,,,69.3,,,,,,,,,46,,,,,,
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.37021,,,,,,,70.10271,,,,
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,57.1492,57.1,,,,,,,,
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aus,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,,,,,,,,,,,,,,,,65.162,,,61.96,,,67.75,,,,66.93,,,,,,,,
aut,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.03079,,,,,,,,,,,,,69.6,,,,65.65257,,,,,,,,,,,
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07484,55.4,,,,,51.1,,,,,54.9,,,,,,,,,,,,,
