geo,name,2005,2006,2007,2008,2009,2010
afg,Afghanistan,125,,,90.91,,31.25
ago,Angola,83.33,,,34.48,,25.64
alb,Albania,2.041,,,0.5882,,0.4545
are,UAE,1,,,0.2381,,0.25
arg,Argentina,1.887,,,1.667,,1.786
arm,Armenia,1.02,,,0.5263,,0.5882
aus,Australia,0.07519,,,0.1351,,0.1235
aut,Austria,0.04651,,,0.06993,,0.05495
aze,Azerbaijan,1.493,,,0.8333,,1
bdi,Burundi,62.5,,,40,,32.26
bel,Belgium,0.1282,,,0.09174,,0.1333
ben,Benin,50,,,23.26,,18.87
bfa,Burkina Faso,45.45,,,35.71,,18.18
bgd,Bangladesh,19.61,,,9.091,,5.882
bgr,Bulgaria,0.1351,,,0.1724,,0.1695
bhr,Bahrain,0.7692,,,0.4545,,0.5556
bhs,Bahamas,0.3704,,,1,,0.9091
bih,Bosnia and Herzegovina,0.03448,,,0.1075,,0.08772
blr,Belarus,0.2083,,,0.1961,,0.06135
blz,Belize,1.786,,,3.03,,1.639
bol,Bolivia,11.24,,,6.667,,7.143
bra,Brazil,2.703,,,1.163,,1.099
brb,Barbados,0.2273,,,0.9091,,0.7692
brn,Brunei,0.3448,,,0.5,,0.5263
btn,Bhutan,18.18,,,5.882,,4.762
bwa,Botswana,7.692,,,5.556,,4.545
caf,Central African Republic,40,,,37.04,,38.46
can,Canada,0.09091,,,0.1786,,0.1923
che,Switzerland,0.07246,,,0.1316,,0.1053
chl,Chile,0.3125,,,0.5,,0.4545
chn,China,0.7692,,,0.6667,,0.5882
civ,Cote d'Ivoire,37.04,,,22.73,,18.87
cmr,Cameroon,41.67,,,28.57,,32.26
cod,"Congo, Dem. Rep.",76.92,,,41.67,,33.33
cog,"Congo, Rep.",45.45,,,25.64,,25.64
col,Colombia,3.448,,,2.174,,2.326
com,Comoros,19.23,,,14.08,,14.93
cpv,Cape Verde,8.333,,,2.857,,2.083
cri,Costa Rica,0.7143,,,0.9091,,0.7692
cub,Cuba,0.7143,,,0.7143,,1
cyp,Cyprus,0.1562,,,0.1515,,0.1587
cze,Czech Republic,0.05525,,,0.1176,,0.08264
deu,Germany,0.05208,,,0.09009,,0.09434
dji,Djibouti,28.57,,,10.75,,7.143
dnk,Denmark,0.05618,,,0.09174,,0.2222
dom,Dominican Republic,4.348,,,3.125,,4.167
dza,Algeria,4.545,,,2.941,,2.326
ecu,Ecuador,5.882,,,3.704,,2.857
