geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,45.39854,42.97576,40.41692,37.53135,35.053,33.3034,32.05789,31.3392,31.04766,30.87603,30.8349,31.08915,30.87135,30.50764,29.77854,29.09013,28.44465,28.01444,27.82955,27.84945,28.0717,28.13735,28.04624,28.02187
ago,Angola,28.83902,27.93335,27.04381,26.12961,25.22071,24.26103,23.29816,22.60341,22.02863,21.58802,21.37549,21.10479,20.79197,20.36406,19.94165,19.64465,19.48776,19.47452,19.51677,19.70677,19.9174,19.94096,19.92639,19.85788
alb,Albania,7.36287,7.21968,7.0421,6.86907,6.66455,6.44644,6.19612,5.9237,5.59321,5.25047,5.02838,4.8033,4.56222,4.33127,4.1359,3.98256,3.90566,3.91378,3.95226,3.97615,3.99201,4.01326,4.00047,3.96511
and,Andorra,3.45379,3.3504,3.28639,3.213,3.14215,3.0649,2.99614,2.94013,2.89088,2.84582,2.80348,2.76054,2.7231,2.6769,2.62395,2.58481,2.54817,2.51336,2.48688,2.45909,2.43044,2.39084,2.34958,2.30942
are,UAE,8.44957,8.25349,7.94179,7.70433,7.57301,7.50538,7.46523,7.37091,7.01382,6.49703,5.92293,5.43974,5.29184,5.30955,5.31513,5.28227,5.16861,5.01014,4.90574,4.76145,4.58656,4.32448,4.05638,3.91255
arg,Argentina,7.83376,7.59412,7.30996,6.85827,6.24208,5.83397,5.64939,5.51544,5.38496,5.25101,4.84112,4.86108,5.08019,5.18235,5.20611,5.09329,5.21116,5.23449,5.28355,5.17159,5.13176,5.1884,5.22719,5.09009
arm,Armenia,19.08741,18.30346,17.54943,16.77068,15.98913,15.31366,14.68641,14.19087,13.97963,14.00369,14.10094,14.05995,13.78387,13.48224,13.36429,13.28247,13.04669,12.6934,12.2651,11.63699,10.85746,10.26855,9.76918,9.43061
atg,Antigua and Barbuda,10.35029,10.21385,10.10111,9.93438,9.78112,9.58398,9.37417,9.14909,8.91419,8.72812,8.58352,8.45691,8.30501,8.19739,8.10243,7.99463,7.91581,7.83099,7.71143,7.62222,7.55199,7.46002,7.36309,7.24993
aus,Australia,3.68122,3.44757,3.29249,3.27514,3.23085,3.1736,3.12748,3.06713,3.0871,3.09948,3.07903,2.99563,2.91732,2.78699,2.73348,2.62283,2.54181,2.55774,2.48452,2.45132,2.40654,2.44125,2.55558,2.57921
aut,Austria,2.83633,2.79208,2.78578,2.72779,2.64217,2.60184,2.56608,2.50387,2.45102,2.45373,2.46179,2.4658,2.45701,2.45293,2.41653,2.3679,2.31721,2.28303,2.27012,2.29368,2.33694,2.31103,2.26802,2.24466
aze,Azerbaijan,20.03184,19.47392,18.89161,18.35039,17.73727,17.11539,16.46871,15.78581,15.10789,14.45012,13.85935,13.2938,12.73585,12.2697,11.8885,11.5555,11.27986,11.04481,10.86173,10.68652,10.52634,10.36071,10.2549,10.08666
bdi,Burundi,34.77996,33.85182,32.70226,31.63589,30.72971,29.90939,28.86237,27.69194,26.69045,26.0207,25.70075,25.70493,25.72542,25.79466,25.74961,25.60513,25.4326,25.18634,24.32118,21.45287,18.76564,18.23442,18.12733,18.02986
bel,Belgium,3.38735,3.33822,3.38663,3.39296,3.31111,3.2352,3.21257,3.18488,3.13498,3.0745,3.08021,3.14377,3.13241,3.07892,3.07904,3.03783,3.05856,3.14571,3.15219,3.07684,3.01013,3.0751,3.11572,3.09469
ben,Benin,28.67275,28.32021,27.73709,27.2341,26.63409,26.1118,25.77995,25.51735,25.3808,25.23727,25.06423,24.67445,23.69429,22.4211,21.37218,21.22608,20.71211,20.04027,19.38266,18.94473,19.02453,18.94568,18.81199,18.6005
bfa,Burkina Faso,34.03639,33.18644,32.14347,31.00383,29.79842,28.57361,27.36864,26.23643,25.31702,24.50518,23.79863,23.06559,22.12968,21.48942,20.77979,19.68079,19.23252,19.46901,19.81967,20.38714,20.74588,20.05167,19.25564,18.87422
bgd,Bangladesh,40.83697,39.6362,38.27499,37.19138,36.14825,35.06453,34.02186,32.9577,31.89883,30.68119,29.61671,28.82674,28.35007,28.07245,27.72465,27.03708,26.38776,25.45374,24.36945,23.264,22.03262,21.11263,20.63241,20.36948
bgr,Bulgaria,7.62349,7.62019,7.8301,7.91391,7.8052,7.59486,7.26316,7.14595,7.04533,6.91815,6.77519,6.61017,6.35271,6.01639,5.8445,5.83617,5.848,5.57461,5.34671,5.24325,5.32458,5.44088,5.28157,4.89382
bhr,Bahrain,8.49831,8.0694,7.66149,7.29384,6.96743,6.6635,6.41303,6.19212,6.02057,5.92162,5.92049,5.98232,5.99333,5.85502,5.76019,5.68526,5.74872,5.83556,5.808,5.72029,5.62163,5.50433,5.38316,5.28236
bhs,Bahamas,12.38604,12.58394,13.26292,14.29199,14.82365,14.67747,14.26917,13.9672,13.69628,13.3302,12.96514,12.64956,12.21518,11.75566,11.17432,10.61712,10.2339,10.01862,10.02064,10.30831,10.52702,10.53774,10.44508,10.35573
bih,Bosnia and Herzegovina,3.9256,3.7741,3.63206,3.57276,3.54701,3.52235,3.52088,3.50806,3.4369,3.31918,3.2153,3.11144,3.01953,2.94991,2.90984,2.86566,2.80182,2.72776,2.66863,2.64661,2.63205,2.61674,2.60868,2.5861
