geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03
ago,Angola,,,,,,,,,,,,,,,,,,,,,5.4,,,5.57
alb,Albania,,,,,,,,,,,,,,,,,,,,,6.68,,,7.29
and,Andorra,,,,,,,,,,,,,,,,,,,,,15.48,,,10.17
are,UAE,,,,,,,,,,,,,,,,,,,,,0.54,,,0.52
arg,Argentina,,,,,,,,,,,,,,,,,,,,,10,,,9.35
arm,Armenia,,,,,,,,,,,,,,,,,,,,,11.35,,,13.66
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,7.22,,,8.17
aus,Australia,,,,,,,,,,,,,,,,,,,,,10.02,,,10.21
aut,Austria,,,,,,,,,,12.62,,,,,,,,,,,13.24,,,12.4
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,10.6,,,13.34
bdi,Burundi,,,,,,,,,,,,,,,,,,,,,9.47,,,9.65
bel,Belgium,,,,,,,,,,,,,,,,,,,,,10.77,,,10.41
ben,Benin,,,,,,,,,,,,,,,,,,,,,2.15,,,2.08
bfa,Burkina Faso,,,,,,,,,,,,,,,,,,,,,6.98,,,7.32
bgd,Bangladesh,,,,,,,,,,,,,,,,,,,,,0.17,,,0.17
bgr,Bulgaria,,,,,,,,,,,,,,,,,,,,,12.44,,,11.4
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,3.66,,,4.19
bhs,Bahamas,,,,,,,,,,,,,,,,,,,,,8.76,,,8.65
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,9.63,,,9.6
blr,Belarus,,,,,,,,,,,,,,,,,,,,,15.13,,,18.85
blz,Belize,,,,,,,,,,,,,,,,,,,,,6.07,,,5.92
bol,Bolivia,,,,,,,,,,,,,,,,,,,,,5.12,,,5.78
bra,Brazil,,,,,,,,,,,,14.01,,,,,,,,,9.16,,,10.08
brb,Barbados,,,,,,,,,,,,,,,,,,,,,6.91,,,6.42
brn,Brunei,,,,,,,,,,,,,,,,,,,,,2.01,,,1.86
btn,Bhutan,,,,,,,,,,,,,,,,,,,,,0.55,,,0.54
bwa,Botswana,,,,,,,,,,,,,,,,,,,,,7.96,,,6.97
caf,Central African Republic,,,,,,,,,,,,,,,,,,,,,3.35,,,3.17
can,Canada,,,,,,,,,,,,,,,,,,,,,9.77,,,10.2
che,Switzerland,,,,,,,,,,,,,,,,,,,,,11.06,,,11.41
chl,Chile,,,,,,9.43,,,,,,,,,,,,,,,8.55,,,8.81
chn,China,,,,,,,,,,,,,,,,,,,,,5.91,,,5.56
civ,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,6.48,,,6.47
cmr,Cameroon,,,,,,,,,,,,,,,,,,,,,7.57,,,7.9
cod,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,3.3,,,3.39
col,Colombia,,,,,,,,,,,,,,,,,,,,,6.17,,,6.59
com,Comoros,,,,,,,,,,,,,,,,,,,,,0.36,,,0.28
cpv,Cape Verde,,,,,,,,,,,,,,,,,,,,,4.96,,,4.98
cri,Costa Rica,,,,,,,,,,,,,,,,,,,,,5.55,,,5.81
cub,Cuba,,,,,,,,,,,,,,,,,,,,,5.51,,,5.12
cyp,Cyprus,,,,,,,,,,,,,,,,,,,,,9.26,,,8.84
cze,Czech Republic,,,,,,,,,,,,,,,,,,,,,16.45,,,16.47
deu,Germany,,,,,,,,,,,,,,,,,,,,,12.81,,,12.14
dji,Djibouti,,,,,,,,,,,,,,,,,,,,,1.87,,,1.87
dma,Dominica,,,,,,,,,,,,,,,,,,,,,7.84,,,8.68
dnk,Denmark,,,,,,,,,,14.36,,,,,,,,,,,13.37,,,12.02
dom,Dominican Republic,,,,,,,,,,,,,,,,,,,,,6.41,,,6.28
dza,Algeria,,,,,,,,,,,,,,,,,,,,,0.96,,,0.69
ecu,Ecuador,,,,,,8.4,,,,,,,,,,,,,,,9.38,,,9.43
egy,Egypt,,,,,,,,,,,,,,,,,,,,,0.37,,,0.32
eri,Eritrea,,,,,,,,,,,,,,,,,,,,,1.54,,,1.64
esp,Spain,,,,,,,,,,,,,,,,,,,,,11.62,,,11.83
est,Estonia,,,,,,,,,,,10.74,,,,,,,,,,15.57,,,17.24
eth,Ethiopia,,,,,,,,,,,,,,,,,,,,,4.02,,,4.1
fin,Finland,,,,,,,,,,9.79,,,,,,,,,,,12.52,,,13.1
fji,Fiji,,,,,,,,,,,,,,,,,,,,,2.43,,,2.76
fra,France,,,,,,,,,,,,,,,,,,,,,13.66,,,12.48
fsm,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,5.5,,,5.25
gab,Gabon,,,,,,,,,,,,,,,,,,,,,9.32,,,9.46
gbr,UK,,,,,,,,,,,,,,,,,,,,,13.37,,,13.24
geo,Georgia,,,,,,,,,,,,,,,,,,,,,6.4,,,6.66
gha,Ghana,,,,,,,,,,,,,,,,,,,,,2.97,,,3.11
gin,Guinea,,,,,,,,,,,,,,,,,,,,,0.76,,,0.79
gmb,Gambia,,,,,,,,,,,,,,,,,,,,,3.39,,,3.58
gnb,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,3.68,,,3.9
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,6.08,,,6.12
grc,Greece,,,,,,12.51,,,,,,,,,,,,,,,10.75,,,11.01
grd,Grenada,,,,,,,,,,,,,,,,,,,,,10.35,,,10.71
gtm,Guatemala,,,,,,,,,,,,,,,,,,,,,4.03,,,7.1
guy,Guyana,,,,,,,,,,,,,,,,,,,,,9.5,,,8.7
hnd,Honduras,,,,,,,,,,,,,,,,,,,,,4.48,,,4.43
hrv,Croatia,,,,,,,,,,,,,,,,,,,,,15.11,,,15
hti,Haiti,,,,,,,,,,,,,,,,,,,,,6.61,,,5.92
hun,Hungary,,,,,,,,,,,14.52,,,,,,,,,,16.27,,,16.12
idn,Indonesia,,,,,,,,,,,,,,,,,,,,,0.59,,,0.56
ind,India,,,,,,,,,,,,,,,,,,,,,2.59,,,2.69
irl,Ireland,,,,,,,,,,,,,,,,,,,,,14.41,,,14.92
irn,Iran,,,,,,,,,,,,,,,,,,,,,1.02,,,1.03
irq,Iraq,,,,,,,,,,,,,,,,,,,,,0.4,,,0.47
isl,Iceland,,,,,,,,,,5.52,,,,,,,,,,,6.31,,,7.38
isr,Israel,,,,,,,,,,,,,,,,,,,,,2.89,,,2.52
ita,Italy,,,,,,,,,,,,,,,,,,,,,10.68,,,9.72
jam,Jamaica,,,,,,,,,,,,,,,,,,,,,5,,,5.17
jor,Jordan,,,,,,,,,,,,,,,,,,,,,0.71,,,0.65
jpn,Japan,,,,,,,,,,,,,,,,,,,,,8.03,,,7.79
kaz,Kazakhstan,,,,,,,,,,,,,,,,,,,,,10.96,,,11.1
