geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
afg,Afghanistan,121.07863,121.21313,121.35222,121.49343,121.6366,121.77998,121.92484,122.07335,122.22482,122.37696,122.52433,122.66447,122.79311,122.91604,123.03887,123.16685,123.3031,123.44631,123.59223,123.74561,123.9078,124.08125,124.25967,124.44358,124.63281,124.81528,124.98389,125.1484,125.30479,125.45214,125.58801,125.71209,125.82493,125.92854,126.02554,126.11909,126.20811,126.29121,126.37165,126.44843,126.52343
ago,Angola,128.37323,128.46278,128.54992,128.63514,128.71506,128.79058,128.8693,128.95437,129.04182,129.1343,129.23252,129.33662,129.44765,129.55923,129.67283,129.78005,129.87678,129.96226,130.03417,130.09137,130.13728,130.17154,130.2008,130.22765,130.25931,130.294,130.33882,130.38824,130.44536,130.50532,130.56349,130.61911,130.67114,130.72169,130.75944,130.7886,130.81156,130.82814,130.83841,130.84147,130.84017
alb,Albania,132.08132,132.00323,131.91841,131.83145,131.75211,131.67744,131.60933,131.54333,131.47942,131.41621,131.35708,131.29954,131.25097,131.213,131.18469,131.16772,131.1669,131.18167,131.21628,131.27968,131.38541,131.52548,131.68739,131.8659,132.06043,132.277,132.51458,132.76731,133.03442,133.31125,133.58885,133.8671,134.15152,134.42761,134.69321,134.94142,135.1701,135.40727,135.63874,135.86247,136.07877
and,Andorra,132.72476,132.74859,132.74998,132.73235,132.701,132.65084,132.57996,132.49299,132.38871,132.27106,132.14442,131.99777,131.83997,131.67413,131.50187,131.32093,131.13898,130.95898,130.7758,130.59403,130.41509,130.24068,130.07082,129.90573,129.74391,129.58522,129.4255,129.26619,129.10116,128.92739,128.7409,128.54158,128.32854,128.10169,127.86001,127.60514,127.34451,127.08903,126.83524,126.58461,126.33709
are,UAE,133.39965,133.12066,132.82381,132.51786,132.21632,131.94938,131.71138,131.49966,131.29786,131.10489,130.90052,130.67351,130.44071,130.18759,129.91409,129.63188,129.35036,129.06142,128.78365,128.53594,128.30519,128.1243,127.97233,127.83446,127.71464,127.60373,127.50348,127.42567,127.36808,127.30189,127.23267,127.14896,127.08039,127.0276,126.96555,126.88046,126.75352,126.65564,126.55486,126.45156,126.34832
arg,Argentina,131.12047,130.97971,130.83635,130.69195,130.5489,130.41083,130.2801,130.14119,129.99693,129.85159,129.70631,129.56292,129.41972,129.26996,129.11488,128.95536,128.79648,128.64387,128.5056,128.38248,128.27818,128.19002,128.12347,128.07848,128.05437,128.04455,128.04044,128.02901,128.01824,128.00918,128.01642,128.03429,128.05837,128.09016,128.12973,128.17607,128.22628,128.26365,128.29863,128.32929,128.36011
arm,Armenia,131.84158,131.87491,131.89773,131.90956,131.91145,131.90363,131.88367,131.85586,131.82118,131.7815,131.73785,131.68863,131.63766,131.58666,131.54328,131.50429,131.45799,131.41562,131.37182,131.33856,131.31346,131.29639,131.29043,131.29246,131.30696,131.33859,131.38884,131.46171,131.55033,131.64898,131.76129,131.87826,132.00086,132.1319,132.26587,132.41357,132.56285,132.70745,132.85296,132.99979,133.1462
atg,Antigua and Barbuda,126.47496,126.4525,126.42359,126.39546,126.37119,126.35684,126.35307,126.36007,126.3769,126.40711,126.44793,126.50217,126.56207,126.6278,126.69308,126.75949,126.8183,126.87506,126.92193,126.94985,126.96945,126.98617,127.00343,127.02318,127.04812,127.08364,127.13104,127.19157,127.26806,127.36392,127.47678,127.61217,127.77289,127.94504,128.12799,128.31329,128.50525,128.70123,128.89836,129.09832,129.30102
aus,Australia,133.55262,133.41633,133.27271,133.12476,132.96105,132.78141,132.58307,132.37003,132.14434,131.90141,131.64511,131.38726,131.13675,130.89217,130.65853,130.43481,130.21523,130.0033,129.7903,129.57277,129.34628,129.10565,128.85411,128.59106,128.31714,128.03346,127.74411,127.45219,127.16227,126.87292,126.59494,126.32335,126.06204,125.79973,125.52791,125.24892,124.96948,124.69449,124.4174,124.14176,123.86679
aut,Austria,133.14945,133.09045,133.03496,132.97973,132.92368,132.86668,132.80959,132.74727,132.68179,132.61062,132.5419,132.47581,132.4112,132.33892,132.25915,132.16694,132.06694,131.96213,131.84041,131.71489,131.58272,131.44599,131.30646,131.15779,131.00212,130.83041,130.6509,130.47136,130.28399,130.07945,129.86969,129.65492,129.43884,129.20686,128.97222,128.74276,128.5207,128.28297,128.04377,127.8057,127.56528
