geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
afg,Afghanistan,118.90977,119.11233,119.31238,119.51125,119.7092,119.8995,120.08192,120.25936,120.43119,120.59866,120.76238,120.92387,121.08534,121.24435,121.40247,121.556,121.70882,121.85974,122.00742,122.15586,122.30112,122.44399,122.58647,122.73302,122.88333,123.03887,123.19687,123.35664,123.51812,123.67969,123.83743,123.99329,124.14462,124.28883,124.42569,124.55508,124.67774,124.7996,124.9171,125.02963,125.13477
ago,Angola,124.11738,124.30546,124.49381,124.67835,124.85979,125.03853,125.21541,125.39266,125.56863,125.74573,125.922,126.10183,126.28445,126.46639,126.64447,126.81266,126.96801,127.11173,127.24376,127.36436,127.47067,127.56639,127.6565,127.74298,127.83176,127.91847,128.00769,128.09625,128.18246,128.26779,128.34678,128.41566,128.47269,128.51524,128.53893,128.5467,128.5374,128.52175,128.49314,128.45545,128.40707
alb,Albania,130.38293,130.29697,130.20686,130.11467,130.02334,129.93205,129.84191,129.75235,129.66106,129.56665,129.47018,129.37453,129.28403,129.1971,129.1078,129.0178,128.93206,128.85244,128.77265,128.70003,128.63703,128.58275,128.54456,128.52395,128.52311,128.54379,128.58843,128.6556,128.74144,128.84116,128.94544,129.04488,129.13908,129.22183,129.28824,129.33828,129.37055,129.38955,129.39477,129.39143,129.38127
and,Andorra,130.44901,130.36111,130.24163,130.0982,129.93297,129.74691,129.53612,129.30092,129.0431,128.76785,128.47644,128.1642,127.83261,127.48649,127.12803,126.75521,126.37059,125.9777,125.57434,125.16772,124.75585,124.34267,123.93229,123.52516,123.12165,122.72359,122.32707,121.93393,121.54502,121.16037,120.77439,120.38824,120.00279,119.62043,119.23838,118.85958,118.48525,118.11482,117.75177,117.39113,117.03562
are,UAE,132.54817,132.16746,131.77732,131.37894,130.98204,130.5911,130.1937,129.79367,129.3949,128.9882,128.57134,128.15033,127.72637,127.3087,126.88791,126.46997,126.05372,125.63653,125.22101,124.81371,124.41777,124.04162,123.68602,123.35256,123.03721,122.7366,122.45622,122.19055,121.93391,121.67683,121.421,121.15673,120.89672,120.63918,120.37622,120.09646,119.78799,119.5002,119.21076,118.91586,118.61979
arg,Argentina,125.71401,125.48743,125.25742,125.02422,124.79082,124.55589,124.32583,124.09989,123.87935,123.667,123.46568,123.2768,123.09858,122.92485,122.75582,122.59199,122.42581,122.25478,122.08012,121.90411,121.72995,121.55967,121.3966,121.24282,121.10256,120.97509,120.85727,120.75751,120.67292,120.60501,120.55831,120.52815,120.51056,120.50344,120.50157,120.50273,120.50382,120.5064,120.5055,120.50107,120.49321
arm,Armenia,131.51045,131.47631,131.42844,131.37049,131.30119,131.22534,131.13699,131.03765,130.93071,130.81944,130.7058,130.5869,130.4655,130.34609,130.23221,130.12242,130.01129,129.90049,129.79518,129.69359,129.5949,129.50163,129.416,129.33469,129.26244,129.20241,129.15218,129.11026,129.07781,129.04732,129.01072,128.96446,128.90803,128.84783,128.78263,128.72086,128.66157,128.59952,128.53995,128.48511,128.43363
atg,Antigua and Barbuda,122.21214,122.15636,122.11165,122.07239,122.03702,121.99998,121.95974,121.91658,121.86923,121.81804,121.76956,121.72136,121.67366,121.62599,121.58057,121.53557,121.48283,121.4273,121.37024,121.3129,121.25963,121.21568,121.18492,121.16872,121.16521,121.17679,121.20513,121.25004,121.31498,121.40015,121.50547,121.63458,121.77523,121.92647,122.08978,122.26046,122.43727,122.62252,122.81216,123.00599,123.2001
aus,Australia,128.17959,127.78381,127.38309,126.98468,126.58727,126.19625,125.81426,125.43929,125.07212,124.71303,124.36324,124.0283,123.70955,123.40455,123.11003,122.82192,122.53394,122.24596,121.95326,121.65082,121.33997,121.02566,120.70784,120.38868,120.06748,119.74374,119.41139,119.07937,118.74856,118.42348,118.10975,117.81313,117.52931,117.25679,116.98922,116.7272,116.471,116.21689,115.96389,115.70931,115.45346
aut,Austria,129.15345,128.97687,128.80034,128.62895,128.45622,128.28336,128.11833,127.94982,127.78194,127.6139,127.45209,127.29638,127.14552,126.99412,126.83742,126.67179,126.49526,126.30775,126.10043,125.87935,125.64476,125.40229,125.151,124.89224,124.62699,124.35442,124.07941,123.81013,123.54094,123.26207,122.97975,122.69611,122.41231,122.12699,121.84152,121.56008,121.27968,120.99817,120.71509,120.43282,120.14925
